# k                                 a                                 b                                 c
  0   -0.7071067811865474617150084669    1.4142135623730951454746218587    1.4142135623730949234300169337
  1   -0.6846680517439162061421598082    1.4577100657142902928598005019    1.3693361034878324122843196164
  2   -0.6615607555677605056132506434    1.4997831399140528763069823981    1.3231215111355210112265012867
  3   -0.6378074565406592899563520405    1.5403917013294183835370176894    1.2756149130813185799127040809
  4   -0.6134313493560127339421228498    1.5794960963893027727777962355    1.2268626987120254678842456997
  5   -0.5884562368688172062647367966    1.6170581403155428468210175197    1.1769124737376344125294735932
  6   -0.5629065068525822557177207273    1.6530411544096823561744713516    1.1258130137051645114354414545
  7   -0.5368071081850825931880422104    1.6874100018691000624215803327    1.0736142163701651863760844208
  8   -0.5101835264862032426336213575    1.7201311220975004090405491297    1.0203670529724064852672427151
  9   -0.4830617592316637787241973001    1.7511725634762669301380810793    0.9661235184633275574483946002
 10   -0.4554682903669243221322915360    1.7805040145646751081898173652    0.9109365807338486442645830721
 11   -0.4274300644460627407461572602    1.8080968336984992728133647688    0.8548601288921254814923145204
 12   -0.3989744603208743023436966268    1.8339240769581135470644994712    0.7979489206417486046873932537
 13   -0.3701292644058879477420020976    1.8579605244787698037356449277    0.7402585288117758954840041952
 14   -0.3409226435454038028893819501    1.8801827050773693983387602202    0.6818452870908076057787639002
 15   -0.3113831175090478464717591578    1.9005689191716741426319003949    0.6227662350180956929435183156
 16   -0.2815395311427006941329409528    1.9190992599695808618065484552    0.5630790622854013882658819057
 17   -0.2514210262019953567858010501    1.9357556329077652002013110177    0.5028420524039907135716021003
 18   -0.2210570128958871116697793013    1.9505217733207158570252204299    0.4421140257917742233395586027
 19   -0.1904771411680838688607053655    1.9633832623229054981095487165    0.3809542823361677377214107310
 20   -0.1597112717443790186333529846    1.9743275408885863075880706674    0.3194225434887580372667059692
 21   -0.1287894469741596437106778694    1.9833439221154662845947314054    0.2575788939483192874213557388
 22   -0.0977418614945620156664318756    1.9904236016602876446768277674    0.1954837229891240313328637512
 23   -0.0665988327459210160963465341    1.9955596663361192533159282902    0.1331976654918420321926930683
 24   -0.0353907713673039664437069973    1.9987471008629653645982671151    0.0707815427346079328874139946
 25   -0.0041481515010377929472684677    1.9999827927651021575172762823    0.0082963030020755858945369354
 26    0.0270985189647738843043978108    1.9992655354103574527613318423   -0.0541970379295477686087956215
 27    0.0583187281866857157308636772    1.9965960291883657617972858134   -0.1166374563733714314617273544
 28    0.0894819901602079692537472511    1.9919768808266509196869264997   -0.1789639803204159385074945021
 29    0.1205578744888725628570114168    1.9854126008451999929604880890   -0.2411157489777451257140228336
 30    0.1515160360989987742286189132    1.9769095991520166943899994294   -0.3030320721979975484572378264
 31    0.1823262448711427952119379370    1.9664761787839568629721043180   -0.3646524897422855904238758740
 32    0.2129584151592962271148934406    1.9541225277989513475773719620   -0.4259168303185924542297868811
 33    0.2433826351690089873081035421    1.9398607093275423984835015290   -0.4867652703380179746162070842
 34    0.2735691961657489290615785649    1.9237046497934406907859283820   -0.5471383923314978581231571297
 35    0.3034886214849768504286942061    1.9056701253146079988454175691   -0.6069772429699537008573884123
 36    0.3331116953156094129262498882    1.8857747462981475639054451676   -0.6662233906312188258524997764
 37    0.3624094912287625924740552819    1.8640379402440385714356807512   -0.7248189824575251849481105637
 38    0.3913534004239188068829946587    1.8404809327745135227871742245   -0.7827068008478376137659893175
 39    0.4199151596649349782452986801    1.8151267269075976873438094117   -0.8398303193298699564905973602
 40    0.4480668788786131284673786013    1.7880000805950522213549902517   -0.8961337577572262569347572025
 41    0.4757810683888834546451107599    1.7591274825466545195240541943   -0.9515621367777669092902215198
 42    0.5030306657600065456392712804    1.7285371263644233597034371996   -1.0060613315200130912785425608
 43    0.5297890622225825962843259731    1.6962588830120437499715535523   -1.0595781244451651925686519462
 44    0.5560301286565632050695739963    1.6623242716463786372571576067   -1.1120602573131264101391479926
 45    0.5817282411058934954439791909    1.6267664288395471405834769030   -1.1634564822117869908879583818
 46    0.6068583057998708785163444190    1.5896200762216239343871393430   -1.2137166115997417570326888381
 47    0.6313957836567856141130050673    1.5509214865755565071481214545   -1.2627915673135712282260101347
 48    0.6553167142459181970792769789    1.5107084484174087002372743882   -1.3106334284918363941585539578
 49    0.6785977391844929540454245398    1.4690202290965155285107357486   -1.3571954783689859080908490796
 50    0.7012161249467429025017395361    1.4258975364515837913614859644   -1.4024322498934858050034790722
 51    0.7231497850628111345727688786    1.3813824790601769709752488779   -1.4462995701256222691455377571
 52    0.7443773016858146185370515013    1.3355185251204055862928044007   -1.4887546033716292370741030027
 53    0.7648779465060077109583858146    1.2883504600049675570261342727   -1.5297558930120154219167716292
 54    0.7846317009916250473366972074    1.2399243425289931952448796437   -1.5692634019832500946733944147
 55    0.8036192759366380666818940881    1.1902874599743937800155890727   -1.6072385518732761333637881762
 56    0.8218221302963372165706346095    1.1394882819146321395464838133   -1.6436442605926744331412692190
 57    0.8392224892923477730377612716    1.0875764128850078371613108175   -1.6784449785846955460755225431
 58    0.8558033617693988626129453223    1.0346025439446695504130957488   -1.7116067235387977252258906447
 59    0.8715485567868984650985453300    0.9806184031776566945026729627   -1.7430971135737969301970906599
 60    0.8864426994291124684011151658    0.9256767051813026281337215551   -1.7728853988582249368022303315
 61    0.9004712458185083479023091968    0.8698310995913252074984711726   -1.8009424916370166958046183936
 62    0.9136204973176050847527562837    0.8131361186938678153879322963   -1.8272409946352101695055125674
 63    0.9258776139054601950206802030    0.7556471241756476109330264990   -1.8517552278109203900413604060
 64    0.9372306267157322068328539899    0.6974202530642076292011211081   -1.8744612534314644136657079798
 65    0.9476684497240757121261367502    0.6385123629110623921789624546   -1.8953368994481514242522735003
 66    0.9571808905734556782718414070    0.5789809762712634366721431434   -1.9143617811469113565436828139
 67    0.9657586605268114743338969674    0.5188842245336006131495310001   -1.9315173210536229486677939349
 68    0.9733933835373506093802120631    0.4582807911562876146405187683   -1.9467867670747012187604241262
 69    0.9800776044276168219582245911    0.3972298543635605083679251948   -1.9601552088552336439164491821
 70    0.9858047961693436889163422165    0.3357910293591462869144947945   -1.9716095923386873778326844331
 71    0.9905693662569874380352530352    0.2740243101130283021049649506   -1.9811387325139748760705060704
 72    0.9943666621687136109031257547    0.2119900107783521669979620583   -1.9887333243374272218062515094
 73    0.9971929759095053968920296938    0.1497487067956792816669775448   -1.9943859518190107937840593877
 74    0.9990455476319584082744995612    0.0873611757420968138010408666   -1.9980910952639168165489991225
 75    0.9999225683312241708122769523    0.0248883379829451661935380002   -1.9998451366624483416245539047
 76    0.9998231816114732106726137317   -0.0376088028158849396742624549   -1.9996463632229464213452274635
 77    0.9987474845221507857573328693   -0.1000692192569969801718698932   -1.9974949690443015715146657385
 78    0.9966965274632095805884546280   -0.1624319198037064981843258238   -1.9933930549264191611769092560
